"","participantId","variable","value","AiC","agree","hasChoice"
"23","23","aicAgreeChoiceInfluence",0.407407407407407,"TRUE","TRUE","TRUE"
"24","24","aicAgreeChoiceInfluence",2.32258064516129,"TRUE","TRUE","TRUE"
"26","1","aicAgreeForcedInfluence",1.45161290322581,"TRUE","TRUE","FALSE"
"27","2","aicAgreeForcedInfluence",0.528301886792453,"TRUE","TRUE","FALSE"
"28","3","aicAgreeForcedInfluence",1.18181818181818,"TRUE","TRUE","FALSE"
"29","4","aicAgreeForcedInfluence",6.84,"TRUE","TRUE","FALSE"
"30","5","aicAgreeForcedInfluence",4.29787234042553,"TRUE","TRUE","FALSE"
"31","6","aicAgreeForcedInfluence",0.327272727272727,"TRUE","TRUE","FALSE"
"32","7","aicAgreeForcedInfluence",0.0784313725490196,"TRUE","TRUE","FALSE"
"33","8","aicAgreeForcedInfluence",2.43103448275862,"TRUE","TRUE","FALSE"
"34","9","aicAgreeForcedInfluence",-1,"TRUE","TRUE","FALSE"
"35","10","aicAgreeForcedInfluence",4.30508474576271,"TRUE","TRUE","FALSE"
"36","11","aicAgreeForcedInfluence",1.04166666666667,"TRUE","TRUE","FALSE"
"37","12","aicAgreeForcedInfluence",1.17647058823529,"TRUE","TRUE","FALSE"
"38","13","aicAgreeForcedInfluence",5.18181818181818,"TRUE","TRUE","FALSE"
"39","14","aicAgreeForcedInfluence",-0.30188679245283,"TRUE","TRUE","FALSE"
"40","15","aicAgreeForcedInfluence",0.315789473684211,"TRUE","TRUE","FALSE"
"41","16","aicAgreeForcedInfluence",0.0909090909090909,"TRUE","TRUE","FALSE"
"42","17","aicAgreeForcedInfluence",14.3888888888889,"TRUE","TRUE","FALSE"
"43","18","aicAgreeForcedInfluence",6.06,"TRUE","TRUE","FALSE"
"44","19","aicAgreeForcedInfluence",0.592592592592593,"TRUE","TRUE","FALSE"
"45","20","aicAgreeForcedInfluence",2.83333333333333,"TRUE","TRUE","FALSE"
"46","21","aicAgreeForcedInfluence",10.4130434782609,"TRUE","TRUE","FALSE"
"47","22","aicAgreeForcedInfluence",5.22641509433962,"TRUE","TRUE","FALSE"
"48","23","aicAgreeForcedInfluence",0.645833333333333,"TRUE","TRUE","FALSE"
"49","24","aicAgreeForcedInfluence",1.18181818181818,"TRUE","TRUE","FALSE"
"51","1","aicDisagreeChoiceInfluence",11.75,"TRUE","FALSE","TRUE"
"52","2","aicDisagreeChoiceInfluence",3.78947368421053,"TRUE","FALSE","TRUE"
"53","3","aicDisagreeChoiceInfluence",6.14285714285714,"TRUE","FALSE","TRUE"
"54","4","aicDisagreeChoiceInfluence",5.64285714285714,"TRUE","FALSE","TRUE"
"55","5","aicDisagreeChoiceInfluence",8.30769230769231,"TRUE","FALSE","TRUE"
"56","6","aicDisagreeChoiceInfluence",3.41176470588235,"TRUE","FALSE","TRUE"
"57","7","aicDisagreeChoiceInfluence",0.0625,"TRUE","FALSE","TRUE"
"58","8","aicDisagreeChoiceInfluence",10.8095238095238,"TRUE","FALSE","TRUE"
"59","9","aicDisagreeChoiceInfluence",-0.678571428571429,"TRUE","FALSE","TRUE"
"60","10","aicDisagreeChoiceInfluence",0.761904761904762,"TRUE","FALSE","TRUE"
"61","11","aicDisagreeChoiceInfluence",4.06666666666667,"TRUE","FALSE","TRUE"
"62","12","aicDisagreeChoiceInfluence",13.5882352941176,"TRUE","FALSE","TRUE"
"63","13","aicDisagreeChoiceInfluence",11.5,"TRUE","FALSE","TRUE"
"64","14","aicDisagreeChoiceInfluence",11.6666666666667,"TRUE","FALSE","TRUE"
"65","15","aicDisagreeChoiceInfluence",6.31034482758621,"TRUE","FALSE","TRUE"
"66","16","aicDisagreeChoiceInfluence",25.7272727272727,"TRUE","FALSE","TRUE"
"67","17","aicDisagreeChoiceInfluence",14.4193548387097,"TRUE","FALSE","TRUE"
"68","18","aicDisagreeChoiceInfluence",6.84615384615385,"TRUE","FALSE","TRUE"
"69","19","aicDisagreeChoiceInfluence",10.95,"TRUE","FALSE","TRUE"
"70","20","aicDisagreeChoiceInfluence",2.45454545454545,"TRUE","FALSE","TRUE"
"71","21","aicDisagreeChoiceInfluence",7.84,"TRUE","FALSE","TRUE"
"72","22","aicDisagreeChoiceInfluence",6.85714285714286,"TRUE","FALSE","TRUE"
"73","23","aicDisagreeChoiceInfluence",7.85714285714286,"TRUE","FALSE","TRUE"
"74","24","aicDisagreeChoiceInfluence",6.14285714285714,"TRUE","FALSE","TRUE"
"76","1","aicDisagreeForcedInfluence",11.5294117647059,"TRUE","FALSE","FALSE"
"77","2","aicDisagreeForcedInfluence",4.53488372093023,"TRUE","FALSE","FALSE"
"78","3","aicDisagreeForcedInfluence",6.39024390243902,"TRUE","FALSE","FALSE"
"79","4","aicDisagreeForcedInfluence",6.65217391304348,"TRUE","FALSE","FALSE"
"80","5","aicDisagreeForcedInfluence",7.18367346938776,"TRUE","FALSE","FALSE"
"81","6","aicDisagreeForcedInfluence",2.5609756097561,"TRUE","FALSE","FALSE"
"82","7","aicDisagreeForcedInfluence",-0.0222222222222222,"TRUE","FALSE","FALSE"
"83","8","aicDisagreeForcedInfluence",5.63157894736842,"TRUE","FALSE","FALSE"
"84","9","aicDisagreeForcedInfluence",2.21212121212121,"TRUE","FALSE","FALSE"
"85","10","aicDisagreeForcedInfluence",1.83783783783784,"TRUE","FALSE","FALSE"
"86","11","aicDisagreeForcedInfluence",1.9375,"TRUE","FALSE","FALSE"
"87","12","aicDisagreeForcedInfluence",12.9333333333333,"TRUE","FALSE","FALSE"
"88","13","aicDisagreeForcedInfluence",7.23076923076923,"TRUE","FALSE","FALSE"
"89","14","aicDisagreeForcedInfluence",10.5813953488372,"TRUE","FALSE","FALSE"
"90","15","aicDisagreeForcedInfluence",4.12820512820513,"TRUE","FALSE","FALSE"
"91","16","aicDisagreeForcedInfluence",23.9024390243902,"TRUE","FALSE","FALSE"
"92","17","aicDisagreeForcedInfluence",14.0714285714286,"TRUE","FALSE","FALSE"
"93","18","aicDisagreeForcedInfluence",16.1521739130435,"TRUE","FALSE","FALSE"
"94","19","aicDisagreeForcedInfluence",5.42857142857143,"TRUE","FALSE","FALSE"
"95","20","aicDisagreeForcedInfluence",2.57142857142857,"TRUE","FALSE","FALSE"
"96","21","aicDisagreeForcedInfluence",8.12,"TRUE","FALSE","FALSE"
"97","22","aicDisagreeForcedInfluence",3.44186046511628,"TRUE","FALSE","FALSE"
"98","23","aicDisagreeForcedInfluence",7.45833333333333,"TRUE","FALSE","FALSE"
"99","24","aicDisagreeForcedInfluence",6.39024390243902,"TRUE","FALSE","FALSE"
"101","1","aiuAgreeChoiceInfluence",2.04347826086957,"FALSE","TRUE","TRUE"
"102","2","aiuAgreeChoiceInfluence",0.375,"FALSE","TRUE","TRUE"
"103","3","aiuAgreeChoiceInfluence",1.42857142857143,"FALSE","TRUE","TRUE"
"104","4","aiuAgreeChoiceInfluence",5.81818181818182,"FALSE","TRUE","TRUE"
"105","5","aiuAgreeChoiceInfluence",5.18181818181818,"FALSE","TRUE","TRUE"
"106","6","aiuAgreeChoiceInfluence",0.475,"FALSE","TRUE","TRUE"
"107","7","aiuAgreeChoiceInfluence",-0.357142857142857,"FALSE","TRUE","TRUE"
"108","8","aiuAgreeChoiceInfluence",3.9,"FALSE","TRUE","TRUE"
"109","9","aiuAgreeChoiceInfluence",0,"FALSE","TRUE","TRUE"
"110","10","aiuAgreeChoiceInfluence",5.1304347826087,"FALSE","TRUE","TRUE"
"111","11","aiuAgreeChoiceInfluence",0.72972972972973,"FALSE","TRUE","TRUE"
"112","12","aiuAgreeChoiceInfluence",0.333333333333333,"FALSE","TRUE","TRUE"
"113","13","aiuAgreeChoiceInfluence",6.25,"FALSE","TRUE","TRUE"
"114","14","aiuAgreeChoiceInfluence",5.01851851851852,"FALSE","TRUE","TRUE"
"115","15","aiuAgreeChoiceInfluence",2.45833333333333,"FALSE","TRUE","TRUE"
"116","16","aiuAgreeChoiceInfluence",0,"FALSE","TRUE","TRUE"
"117","17","aiuAgreeChoiceInfluence",10.75,"FALSE","TRUE","TRUE"
"118","18","aiuAgreeChoiceInfluence",3.88235294117647,"FALSE","TRUE","TRUE"
"119","19","aiuAgreeChoiceInfluence",1.16129032258065,"FALSE","TRUE","TRUE"
"120","20","aiuAgreeChoiceInfluence",3.69047619047619,"FALSE","TRUE","TRUE"
"121","21","aiuAgreeChoiceInfluence",8.78571428571429,"FALSE","TRUE","TRUE"
"122","22","aiuAgreeChoiceInfluence",5.12,"FALSE","TRUE","TRUE"
"123","23","aiuAgreeChoiceInfluence",1.03448275862069,"FALSE","TRUE","TRUE"
"124","24","aiuAgreeChoiceInfluence",1.42857142857143,"FALSE","TRUE","TRUE"
"126","1","aiuAgreeForcedInfluence",2.93333333333333,"FALSE","TRUE","FALSE"
"127","2","aiuAgreeForcedInfluence",0.314814814814815,"FALSE","TRUE","FALSE"
"128","3","aiuAgreeForcedInfluence",1.36842105263158,"FALSE","TRUE","FALSE"
"129","4","aiuAgreeForcedInfluence",6.03846153846154,"FALSE","TRUE","FALSE"
"130","5","aiuAgreeForcedInfluence",5.125,"FALSE","TRUE","FALSE"
"131","6","aiuAgreeForcedInfluence",-0.0819672131147541,"FALSE","TRUE","FALSE"
"132","7","aiuAgreeForcedInfluence",0.152542372881356,"FALSE","TRUE","FALSE"
"133","8","aiuAgreeForcedInfluence",3.17241379310345,"FALSE","TRUE","FALSE"
"134","9","aiuAgreeForcedInfluence",-0.0483870967741935,"FALSE","TRUE","FALSE"
"135","10","aiuAgreeForcedInfluence",2.68085106382979,"FALSE","TRUE","FALSE"
"136","11","aiuAgreeForcedInfluence",0.210526315789474,"FALSE","TRUE","FALSE"
"137","12","aiuAgreeForcedInfluence",1.06,"FALSE","TRUE","FALSE"
"138","13","aiuAgreeForcedInfluence",5.65454545454545,"FALSE","TRUE","FALSE"
"139","14","aiuAgreeForcedInfluence",5.921875,"FALSE","TRUE","FALSE"
"140","15","aiuAgreeForcedInfluence",2.51851851851852,"FALSE","TRUE","FALSE"
"141","16","aiuAgreeForcedInfluence",0.0851063829787234,"FALSE","TRUE","FALSE"
"142","17","aiuAgreeForcedInfluence",11.6271186440678,"FALSE","TRUE","FALSE"
"143","18","aiuAgreeForcedInfluence",3.91935483870968,"FALSE","TRUE","FALSE"
"144","19","aiuAgreeForcedInfluence",-0.275862068965517,"FALSE","TRUE","FALSE"
"145","20","aiuAgreeForcedInfluence",3.86274509803922,"FALSE","TRUE","FALSE"
"146","21","aiuAgreeForcedInfluence",8.18867924528302,"FALSE","TRUE","FALSE"
"147","22","aiuAgreeForcedInfluence",5.90909090909091,"FALSE","TRUE","FALSE"
"148","23","aiuAgreeForcedInfluence",0.841269841269841,"FALSE","TRUE","FALSE"
"149","24","aiuAgreeForcedInfluence",1.36842105263158,"FALSE","TRUE","FALSE"
"151","1","aiuDisagreeChoiceInfluence",12.25,"FALSE","FALSE","TRUE"
"152","2","aiuDisagreeChoiceInfluence",3.80952380952381,"FALSE","FALSE","TRUE"
"153","3","aiuDisagreeChoiceInfluence",5.11111111111111,"FALSE","FALSE","TRUE"
"154","4","aiuDisagreeChoiceInfluence",7.90909090909091,"FALSE","FALSE","TRUE"
"155","5","aiuDisagreeChoiceInfluence",4,"FALSE","FALSE","TRUE"
"156","6","aiuDisagreeChoiceInfluence",4.55555555555556,"FALSE","FALSE","TRUE"
"157","7","aiuDisagreeChoiceInfluence",0,"FALSE","FALSE","TRUE"
"158","8","aiuDisagreeChoiceInfluence",8.8,"FALSE","FALSE","TRUE"
"159","9","aiuDisagreeChoiceInfluence",-1.07692307692308,"FALSE","FALSE","TRUE"
"160","10","aiuDisagreeChoiceInfluence",7.91666666666667,"FALSE","FALSE","TRUE"
"161","11","aiuDisagreeChoiceInfluence",1.9,"FALSE","FALSE","TRUE"
"162","12","aiuDisagreeChoiceInfluence",12.9333333333333,"FALSE","FALSE","TRUE"
"163","13","aiuDisagreeChoiceInfluence",1.14285714285714,"FALSE","FALSE","TRUE"
"164","14","aiuDisagreeChoiceInfluence",23.9032258064516,"FALSE","FALSE","TRUE"
"165","15","aiuDisagreeChoiceInfluence",4.23529411764706,"FALSE","FALSE","TRUE"
"166","16","aiuDisagreeChoiceInfluence",18.8947368421053,"FALSE","FALSE","TRUE"
"167","17","aiuDisagreeChoiceInfluence",15.8888888888889,"FALSE","FALSE","TRUE"
"168","18","aiuDisagreeChoiceInfluence",16.6086956521739,"FALSE","FALSE","TRUE"
"169","19","aiuDisagreeChoiceInfluence",1.875,"FALSE","FALSE","TRUE"
"170","20","aiuDisagreeChoiceInfluence",4.61538461538461,"FALSE","FALSE","TRUE"
"171","21","aiuDisagreeChoiceInfluence",5.66666666666667,"FALSE","FALSE","TRUE"
"172","22","aiuDisagreeChoiceInfluence",0.947368421052632,"FALSE","FALSE","TRUE"
"173","23","aiuDisagreeChoiceInfluence",6.63157894736842,"FALSE","FALSE","TRUE"
"174","24","aiuDisagreeChoiceInfluence",5.11111111111111,"FALSE","FALSE","TRUE"
"176","1","aiuDisagreeForcedInfluence",12.1944444444444,"FALSE","FALSE","FALSE"
"177","2","aiuDisagreeForcedInfluence",3.76190476190476,"FALSE","FALSE","FALSE"
"178","3","aiuDisagreeForcedInfluence",3.23076923076923,"FALSE","FALSE","FALSE"
"179","4","aiuDisagreeForcedInfluence",5.75,"FALSE","FALSE","FALSE"
"180","5","aiuDisagreeForcedInfluence",6.3125,"FALSE","FALSE","FALSE"
"181","6","aiuDisagreeForcedInfluence",3.42857142857143,"FALSE","FALSE","FALSE"
"182","7","aiuDisagreeForcedInfluence",0.135135135135135,"FALSE","FALSE","FALSE"
"183","8","aiuDisagreeForcedInfluence",9.13157894736842,"FALSE","FALSE","FALSE"
"184","9","aiuDisagreeForcedInfluence",1.47058823529412,"FALSE","FALSE","FALSE"
"185","10","aiuDisagreeForcedInfluence",2.26530612244898,"FALSE","FALSE","FALSE"
"186","11","aiuDisagreeForcedInfluence",5.61538461538461,"FALSE","FALSE","FALSE"
"187","12","aiuDisagreeForcedInfluence",12.7391304347826,"FALSE","FALSE","FALSE"
"188","13","aiuDisagreeForcedInfluence",2.92682926829268,"FALSE","FALSE","FALSE"
"189","14","aiuDisagreeForcedInfluence",17.125,"FALSE","FALSE","FALSE"
"190","15","aiuDisagreeForcedInfluence",2.80952380952381,"FALSE","FALSE","FALSE"
"191","16","aiuDisagreeForcedInfluence",19.734693877551,"FALSE","FALSE","FALSE"
"192","17","aiuDisagreeForcedInfluence",15.2702702702703,"FALSE","FALSE","FALSE"
"193","18","aiuDisagreeForcedInfluence",9.35294117647059,"FALSE","FALSE","FALSE"
"194","19","aiuDisagreeForcedInfluence",5.57894736842105,"FALSE","FALSE","FALSE"
"195","20","aiuDisagreeForcedInfluence",5.42222222222222,"FALSE","FALSE","FALSE"
"196","21","aiuDisagreeForcedInfluence",6.65116279069767,"FALSE","FALSE","FALSE"
"197","22","aiuDisagreeForcedInfluence",2.46341463414634,"FALSE","FALSE","FALSE"
"198","23","aiuDisagreeForcedInfluence",5.24242424242424,"FALSE","FALSE","FALSE"
"199","24","aiuDisagreeForcedInfluence",3.23076923076923,"FALSE","FALSE","FALSE"
